wavelength,transmittance,absorption
2600,0.6889886300000001,37.253051028170894
2599,0.68944185,37.187292178100805
2598,0.6901063399999999,37.090957732344485
2597,0.69036807,37.053038883398045
2596,0.6907300399999999,37.00062117235101
2595,0.69112297,36.94375115683609
2594,0.69169748,36.86065865801527
2593,0.69196386,36.8221550161789
2592,0.69237892,36.76219009731144
2591,0.69242971,36.75485478773545
2590,0.69297189,36.67658433854879
2589,0.69357568,36.58949175676812
2588,0.69409394,36.51479674051544
2587,0.6942905899999999,36.48646885338248
2586,0.69495537,36.39076513066076
2585,0.69519639,36.35608977947248
2584,0.69544878,36.31979151903683
2583,0.69555675,36.30426749732906
2582,0.69567226,36.28766203562071
2581,0.69653827,36.163254111239326
2580,0.69713394,36.077772025566944
2579,0.69743468,36.03464184174537
2578,0.6977672300000001,35.986971321240176
2577,0.69790772,35.96683912635132
2576,0.6979704200000001,35.95785553412424
2575,0.6984435499999999,35.890091958527165
2574,0.6991097399999999,35.79475533627089
2573,0.69914761,35.789338593779334
2572,0.6994930600000001,35.739940629822705
2571,0.69978001,35.69892647609181
2570,0.70027992,35.62751381574304
2569,0.70069428,35.56836069042746
2568,0.7008787200000001,35.542041690123554
2567,0.7011982,35.49646929663045
2566,0.70129101,35.4832342571772
2565,0.70155284,35.44590579712939
2564,0.70170755,35.42385571979102
2563,0.70210005,35.36793637440098
2562,0.7025766099999999,35.3000830339341
2561,0.70281329,35.26640127739983
2560,0.7029769,35.243124688631106
2559,0.7032040700000001,35.21081448008429
2558,0.7033625600000001,35.188278754112915
2557,0.7036715499999999,35.144357998706795
2556,0.7043173699999999,35.05262147491492
2555,0.7045209800000001,35.02371681010115
2554,0.70492447,34.966461666097885
2553,0.70539721,34.89942163907291
2552,0.70571538,34.85432672493969
2551,0.70587491,34.83172384904725
2550,0.70599067,34.815325687366816
2549,0.70648415,34.74545116456602
2548,0.7065699999999999,34.73330017939598
2547,0.70681298,34.698917424568435
2546,0.7069201599999999,34.68375473266108
2545,0.7073519899999999,34.62268727638401
2544,0.70754285,34.59570859277277
2543,0.7080665899999999,34.52171360388703
2542,0.70833125,34.48434274725254
2541,0.7085968,34.44686025079
2540,0.7088999300000001,34.404090486570375
2539,0.70928388,34.34994376642404
2538,0.70946326,34.324656666855915
2537,0.70983653,34.272057489256376
2536,0.7098640399999999,34.268182024164
2535,0.70995639,34.25517333684284
2534,0.71012215,34.23182814908261
2533,0.7107373800000001,34.145228450032924
2532,0.71098523,34.110362295303794
2531,0.7114373500000001,34.046791873745114
2530,0.71139816,34.05230059203821
2529,0.71147966,34.040844935207595
2528,0.71153505,34.03306005432917
2527,0.71216356,33.944767485043016
2526,0.7124591800000001,33.903265970860666
2525,0.71287215,33.845318740927
2524,0.7131196599999999,33.81060465621069
2523,0.71323633,33.79424548625899
2522,0.71347786,33.760387267983695
2521,0.7140123800000001,33.68549778572959
2520,0.71441024,33.62979158159675
2519,0.7145866,33.60510853178742
2518,0.71488934,33.562751749689184
2517,0.71504061,33.541594069823226
2516,0.71530815,33.50418501119334
2515,0.7156725199999999,33.453259095069726
2514,0.71605919,33.39924478405037
2513,0.7163084399999999,33.36444226585666
2512,0.71668211,33.31228979235017
2511,0.7168823000000001,33.2843608064037
2510,0.71724746,33.23343654305235
2509,0.71755007,33.19125498110235
2508,0.71788925,33.14399697422088
2507,0.71818651,33.10259804353417
2506,0.7186572,33.03708082498616
2505,0.71916798,32.96603185066139
2504,0.71965208,32.89874059837413
2503,0.71997721,32.853572025077355
2502,0.7201541899999999,32.82899371216912
2501,0.7204432799999999,32.788858975033904
2500,0.7208694800000001,32.72971844367242
2499,0.72117498,32.68734804344629
2498,0.7217010500000001,32.614428400681064
2497,0.7218734499999999,32.59054324604312
2496,0.72230861,32.530279374163975
2495,0.722795,32.46296378308787
2494,0.72297921,32.437481242353265
2493,0.7236052599999999,32.350925627790964
2492,0.72409881,32.282741800812964
2491,0.7246329,32.209009719088016
2490,0.72498271,32.160747268769896
2489,0.7252876399999999,32.11869579822948
2488,0.72580411,32.04751215021982
2487,0.72634873,31.97250351331423
2486,0.72678489,31.912473243957724
2485,0.7271163900000001,31.86687179765531
2484,0.7276240900000001,31.797072403523863
2483,0.72805561,31.737784634017977
2482,0.72854698,31.670316675082248
2481,0.72910325,31.59399246292827
2480,0.72969706,31.51258172717148
2479,0.7301737199999999,31.447280054794906
2478,0.73039591,31.416854938846942
2477,0.73088323,31.350157207424367
2476,0.7314614500000001,31.271075984229544
2475,0.73207954,31.18661097218405
2474,0.73261563,31.11340938936754
2473,0.7331383300000001,31.042087730150293
2472,0.7337756400000001,30.95519646684084
2471,0.73419304,30.89832876701381
2470,0.73471491,30.827273256427567
2469,0.73541146,30.73251268803879
2468,0.7360182000000001,30.650043229812955
2467,0.73673367,30.55288225234496
2466,0.7373002200000001,30.47601156005736
2465,0.7377148800000001,30.41978704941696
2464,0.7383457400000001,30.334308170045155
2463,0.73905251,30.23863050778774
2462,0.73965176,30.15757981429039
2461,0.74019702,30.083888497712103
2460,0.7406995200000001,30.01602419987454
2459,0.74113913,29.95669115266368
2458,0.7416647199999999,29.885799777245197
2457,0.74227388,29.8036993407154
2456,0.74304435,29.69995456016361
2455,0.74382803,29.5945413339702
2454,0.74437888,29.520512645962487
2453,0.744841,29.458450619926023
2452,0.74534795,29.39041226552049
2451,0.74592528,29.312984465271875
2450,0.74649589,29.23651677112834
2449,0.7469967900000001,29.16943910473076
2448,0.74763717,29.083748553555928
2447,0.7481205400000001,29.019116425826272
2446,0.74853156,28.964191168268705
2445,0.7491510800000001,28.881460686017125
2444,0.7498503700000001,28.788159902254986
2443,0.75030686,28.727300946278817
2442,0.75068432,28.67700617932933
2441,0.7512444100000001,28.602423409218385
2440,0.75194004,28.509869225377816
2439,0.75265744,28.41450816517381
2438,0.75318465,28.344486212003243
2437,0.75350931,28.3013905318394
2436,0.75393059,28.245497091448502
2435,0.75438483,28.1852656560724
2434,0.7547805700000001,28.13282077374597
2433,0.75523592,28.07251017226344
2432,0.75578413,27.999948590561917
2431,0.7564111200000001,27.917024108960863
2430,0.75705268,27.83224374772225
2429,0.75772345,27.743680159934108
2428,0.75824859,27.674399196018044
2427,0.75852085,27.63849921072772
2426,0.75902011,27.57270065488344
2425,0.7597999299999999,27.4700130358124
2424,0.76029308,27.40512884595599
2423,0.76059086,27.365970038899984
2422,0.76122403,27.28275754824868
2421,0.7618802800000001,27.196584849990156
2420,0.76245226,27.121538229671355
2419,0.76290306,27.06243068833801
2418,0.76328858,27.011910164165865
2417,0.76385391,26.937872537745797
2416,0.76441839,26.864000882063777
2415,0.7650950799999999,26.77551652969635
2414,0.76568587,26.698328473582546
2413,0.76609364,26.645087128210008
2412,0.76650044,26.592000663259878
2411,0.7670292499999999,26.52303427488039
2410,0.7676216499999999,26.44583104521764
2409,0.7682661799999999,26.36190173407327
2408,0.7688691400000001,26.283449300760385
2407,0.7694461800000001,26.208426966969306
2406,0.7700166199999999,26.13431799517633
2405,0.77059371,26.059400929419496
2404,0.77120007,25.98074449181704
2403,0.77174513,25.910092595343585
2402,0.77226631,25.84258273028788
2401,0.7728561500000001,25.766234085578887
2400,0.7735861800000001,25.671819953209752
2399,0.7743133799999999,25.577860361477597
2398,0.77500806,25.48818496828697
2397,0.77559171,25.412904416998902
2396,0.77611975,25.344845369425407
2395,0.77673663,25.26539436025348
2394,0.77742265,25.17711254083081
2393,0.77810812,25.08897927370557
2392,0.77887461,24.99052088400718
