wavelength,absorption,publication,medium,attenuation,scattering,attenuation_error,absorption_error,measurement
676.0,,KM3Net06,sea water,0.4684,,0.0022,,KM4 2003-07
715.0,1.0161,KM3Net06,sea water,1.0209,,0.002,0.0003,KM3 1st 2019-12
715.0,1.0165,KM3Net06,sea water,1.0193,,0.0018,0.0003,KM3 2nd 2019-12
715.0,1.0167,KM3Net06,sea water,1.0169,,0.0012,0.0003,KM4 1st 2019-12
715.0,1.0169,KM3Net06,sea water,1.019,,0.0018,0.0003,KM4 2nd 2019-12
715.0,1.0168,KM3Net06,sea water,1.0175,,0.0019,0.0003,KM4 1999-12
715.0,1.0117,KM3Net06,sea water,1.0469,,0.001,0.0014,KM4 2002-03
715.0,1.0458,KM3Net06,sea water,1.0645,,0.0032,0.0003,KM4 2002-05
715.0,1.0457,KM3Net06,sea water,1.0626,,0.003,0.0002,KM4 2002-08
715.0,1.0451,KM3Net06,sea water,1.0652,,0.0023,0.0003,KM4 2003-07
375.7,,KM3Net10,sea water,0.050761421319796954,,0.0007730165683217811,,N4.5D 4100m
375.7,,KM3Net10,sea water,0.04901960784313726,,0.0009611687812379855,,N4.5D 3400m
375.7,,KM3Net10,sea water,0.0574712643678161,,0.0009908838684106224,,CP2 3400m
375.7,,KM3Net10,sea water,0.04901960784313726,,0.0009611687812379855,,N4.5D 3000m
375.7,,KM3Net10,sea water,0.054945054945054944,,0.000905687718874532,,CP2 3000m
375.7,,KM3Net10,sea water,0.0546448087431694,,0.0008958165367732688,,CP1 3100m
375.7,,KM3Net10,sea water,0.04950495049504951,,0.0009802960494069211,,N4.5D 2500m
375.7,,KM3Net10,sea water,0.05319148936170213,,0.0008488003621548211,,CP1 2500m
375.7,,KM3Net10,sea water,0.058823529411764705,,0.0010380622837370243,,CP2 2500m
375.7,,KM3Net10,sea water,0.05128205128205128,,0.0007889546351084812,,N4.5D 2000m
375.7,,KM3Net10,sea water,0.05405405405405406,,0.0008765522279035792,,CP1 2000m
375.7,,KM3Net10,sea water,0.06060606060606061,,0.0011019283746556473,,CP2 2000m
385.7,,KM3Net10,sea water,0.0423728813559322,,0.0008977305372019534,,N4.5D 4100m
385.7,,KM3Net10,sea water,0.04098360655737705,,0.0008398280032249397,,N4.5D 3400m
385.7,,KM3Net10,sea water,0.04830917874396135,,0.000933510700366403,,CP2 3400m
385.7,,KM3Net10,sea water,0.04098360655737705,,0.0008398280032249397,,N4.5D 3000m
385.7,,KM3Net10,sea water,0.04587155963302752,,0.0008416799932665601,,CP2 3000m
385.7,,KM3Net10,sea water,0.04587155963302752,,0.0008416799932665601,,CP1 3100m
385.7,,KM3Net10,sea water,0.04149377593360996,,0.0008608667206143144,,N4.5D 2500m
385.7,,KM3Net10,sea water,0.044642857142857144,,0.0007971938775510204,,CP1 2500m
385.7,,KM3Net10,sea water,0.04975124378109452,,0.0007425558773297689,,CP2 2500m
385.7,,KM3Net10,sea water,0.04366812227074236,,0.000762761961061002,,N4.5D 2000m
385.7,,KM3Net10,sea water,0.045454545454545456,,0.0008264462809917356,,CP1 2000m
385.7,,KM3Net10,sea water,0.051546391752577324,,0.0007971091508130514,,CP2 2000m
400.3,,KM3Net10,sea water,0.036231884057971016,,0.0007876496534341525,,N4.5D 4100m
400.3,,KM3Net10,sea water,0.034722222222222224,,0.0008439429012345679,,N4.5D 3400m
400.3,,KM3Net10,sea water,0.0411522633744856,,0.0008467543904215143,,CP2 3400m
400.3,,KM3Net10,sea water,0.034722222222222224,,0.0008439429012345679,,N4.5D 3000m
400.3,,KM3Net10,sea water,0.038910505836575876,,0.0007570137322291027,,CP2 3000m
400.3,,KM3Net10,sea water,0.0390625,,0.0009155273437499998,,CP1 3100m
400.3,,KM3Net10,sea water,0.0353356890459364,,0.0007491665522106657,,N4.5D 2500m
400.3,,KM3Net10,sea water,0.03773584905660377,,0.0008543965824136703,,CP1 2500m
400.3,,KM3Net10,sea water,0.042735042735042736,,0.0009131419387829646,,CP2 2500m
400.3,,KM3Net10,sea water,0.03731343283582089,,0.0008353753619959901,,N4.5D 2000m
400.3,,KM3Net10,sea water,0.03802281368821293,,0.0007228671803842762,,CP1 2000m
400.3,,KM3Net10,sea water,0.04424778761061947,,0.0007831466833737958,,CP2 2000m
425.0,,KM3Net10,sea water,0.029325513196480937,,0.0007739871518132799,,N4.5D 4100m
425.0,,KM3Net10,sea water,0.027700831024930747,,0.0007673360394717658,,N4.5D 3400m
425.0,,KM3Net10,sea water,0.032467532467532464,,0.0007378984651711923,,CP2 3400m
425.0,,KM3Net10,sea water,0.028011204481792715,,0.0007846275765208043,,N4.5D 3000m
425.0,,KM3Net10,sea water,0.03105590062111801,,0.0007715751707110065,,CP2 3000m
425.0,,KM3Net10,sea water,0.032467532467532464,,0.0008433125316242199,,CP1 3100m
425.0,,KM3Net10,sea water,0.02915451895043732,,0.0007649873777082679,,N4.5D 2500m
425.0,,KM3Net10,sea water,0.03067484662576687,,0.000752756972411457,,CP1 2500m
425.0,,KM3Net10,sea water,0.034722222222222224,,0.0008439429012345679,,CP2 2500m
425.0,,KM3Net10,sea water,0.030487804878048783,,0.0007436049970255802,,N4.5D 2000m
425.0,,KM3Net10,sea water,0.030581039755351678,,0.0006546399947628799,,CP1 2000m
425.0,,KM3Net10,sea water,0.03663003663003663,,0.0008050557501106952,,CP2 2000m
445.4,,KM3Net10,sea water,0.02551020408163265,,0.0007809246147438566,,N4.5D 4100m
445.4,,KM3Net10,sea water,0.024330900243309,,0.0007695905186448103,,N4.5D 3400m
445.4,,KM3Net10,sea water,0.028011204481792715,,0.0007846275765208043,,CP2 3400m
445.4,,KM3Net10,sea water,0.024691358024691357,,0.0007925621094345375,,N4.5D 3000m
445.4,,KM3Net10,sea water,0.0273972602739726,,0.0007506098705197974,,CP2 3000m
445.4,,KM3Net10,sea water,0.02857142857142857,,0.0008979591836734695,,CP1 3100m
445.4,,KM3Net10,sea water,0.02557544757033248,,0.0007849242221073906,,N4.5D 2500m
445.4,,KM3Net10,sea water,0.026881720430107524,,0.0007948895826107063,,CP1 2500m
445.4,,KM3Net10,sea water,0.0308641975308642,,0.000762078951379363,,CP2 2500m
445.4,,KM3Net10,sea water,0.0273972602739726,,0.0007506098705197974,,N4.5D 2000m
445.4,,KM3Net10,sea water,0.026109660574412535,,0.0006817143753110323,,CP1 2000m
445.4,,KM3Net10,sea water,0.03236245954692557,,0.000837863030341115,,CP2 2000m
462.6,,KM3Net10,sea water,0.022675736961451247,,0.0007198646654428967,,N4.5D 4100m
462.6,,KM3Net10,sea water,0.021929824561403508,,0.0007213758079409048,,N4.5D 3400m
462.6,,KM3Net10,sea water,0.025062656641604012,,0.0007537641095219251,,CP2 3400m
462.6,,KM3Net10,sea water,0.022172949002217293,,0.0007374595011823933,,N4.5D 3000m
462.6,,KM3Net10,sea water,0.024154589371980676,,0.0007584774440477024,,CP2 3000m
462.6,,KM3Net10,sea water,0.026595744680851064,,0.0009195337256677229,,CP1 3100m
462.6,,KM3Net10,sea water,0.02293577981651376,,0.00073646999410824,,N4.5D 2500m
462.6,,KM3Net10,sea water,0.02481389578163772,,0.0007388753086343738,,CP1 2500m
462.6,,KM3Net10,sea water,0.027624309392265192,,0.0007631024693995909,,CP2 2500m
462.6,,KM3Net10,sea water,0.02487562189054726,,0.0007425558773297689,,N4.5D 2000m
462.6,,KM3Net10,sea water,0.02386634844868735,,0.0005696025882741612,,CP1 2000m
462.6,,KM3Net10,sea water,0.02915451895043732,,0.0007649873777082679,,CP2 2000m
501.6,,KM3Net10,sea water,0.03690036900369004,,0.0008169823395650929,,N4.5D 4100m
501.6,,KM3Net10,sea water,0.03558718861209964,,0.0007598687959878927,,N4.5D 3400m
501.6,,KM3Net10,sea water,0.038910505836575876,,0.0007570137322291027,,CP2 3400m
501.6,,KM3Net10,sea water,0.036101083032490974,,0.0007819729176712846,,N4.5D 3000m
501.6,,KM3Net10,sea water,0.038461538461538464,,0.0007396449704142012,,CP2 3000m
501.6,,KM3Net10,sea water,0.03968253968253968,,0.0009448223733938019,,CP1 3100m
501.6,,KM3Net10,sea water,0.03690036900369004,,0.0008169823395650929,,N4.5D 2500m
501.6,,KM3Net10,sea water,0.03787878787878788,,0.0008608815426997245,,CP1 2500m
501.6,,KM3Net10,sea water,0.04098360655737705,,0.0008398280032249397,,CP2 2500m
501.6,,KM3Net10,sea water,0.03802281368821293,,0.0008674406164611314,,N4.5D 2000m
501.6,,KM3Net10,sea water,0.037037037037037035,,0.0006858710562414266,,CP1 2000m
501.6,,KM3Net10,sea water,0.0423728813559322,,0.0008977305372019534,,CP2 2000m
519.5,,KM3Net10,sea water,0.04975124378109452,,0.0007425558773297689,,N4.5D 4100m
519.5,,KM3Net10,sea water,0.04830917874396135,,0.000933510700366403,,N4.5D 3400m
519.5,,KM3Net10,sea water,0.050761421319796954,,0.0007730165683217811,,CP2 3400m
519.5,,KM3Net10,sea water,0.04926108374384236,,0.0009706617486471401,,N4.5D 3000m
519.5,,KM3Net10,sea water,0.05025125628140704,,0.0007575566273578951,,CP2 3000m
519.5,,KM3Net10,sea water,0.050761421319796954,,0.0010306887577623749,,CP1 3100m
519.5,,KM3Net10,sea water,0.04926108374384236,,0.0009706617486471401,,N4.5D 2500m
519.5,,KM3Net10,sea water,0.04950495049504951,,0.0009802960494069211,,CP1 2500m
519.5,,KM3Net10,sea water,0.05319148936170213,,0.0008488003621548211,,CP2 2500m
519.5,,KM3Net10,sea water,0.050761421319796954,,0.0007730165683217811,,N4.5D 2000m
519.5,,KM3Net10,sea water,0.04854368932038835,,0.0007069469318503157,,CP1 2000m
519.5,,KM3Net10,sea water,0.0546448087431694,,0.0008958165367732688,,CP2 2000m
400.0,0.0262,bricaud95,plankton,,,,,
402.0,0.0271,bricaud95,plankton,,,,,
404.0,0.027999999999999997,bricaud95,plankton,,,,,
406.0,0.029,bricaud95,plankton,,,,,
408.0,0.0301,bricaud95,plankton,,,,,
410.0,0.0313,bricaud95,plankton,,,,,
412.0,0.0323,bricaud95,plankton,,,,,
414.0,0.0333,bricaud95,plankton,,,,,
416.0,0.0342,bricaud95,plankton,,,,,
418.0,0.0349,bricaud95,plankton,,,,,
420.0,0.0356,bricaud95,plankton,,,,,
422.0,0.0359,bricaud95,plankton,,,,,
424.0,0.0362,bricaud95,plankton,,,,,
426.0,0.0369,bricaud95,plankton,,,,,
428.0,0.037599999999999995,bricaud95,plankton,,,,,
430.0,0.0386,bricaud95,plankton,,,,,
432.0,0.0391,bricaud95,plankton,,,,,
434.0,0.0395,bricaud95,plankton,,,,,
436.0,0.0399,bricaud95,plankton,,,,,
438.0,0.0401,bricaud95,plankton,,,,,
440.0,0.040299999999999996,bricaud95,plankton,,,,,
442.0,0.0398,bricaud95,plankton,,,,,
444.0,0.039,bricaud95,plankton,,,,,
446.0,0.0383,bricaud95,plankton,,,,,
448.0,0.0375,bricaud95,plankton,,,,,
450.0,0.0371,bricaud95,plankton,,,,,
452.0,0.0365,bricaud95,plankton,,,,,
454.0,0.0358,bricaud95,plankton,,,,,
456.0,0.0354,bricaud95,plankton,,,,,
458.0,0.0351,bricaud95,plankton,,,,,
460.0,0.034999999999999996,bricaud95,plankton,,,,,
462.0,0.034699999999999995,bricaud95,plankton,,,,,
464.0,0.0343,bricaud95,plankton,,,,,
466.0,0.0339,bricaud95,plankton,,,,,
468.0,0.0335,bricaud95,plankton,,,,,
470.0,0.0332,bricaud95,plankton,,,,,
472.0,0.0325,bricaud95,plankton,,,,,
474.0,0.031799999999999995,bricaud95,plankton,,,,,
476.0,0.0313,bricaud95,plankton,,,,,
478.0,0.030600000000000002,bricaud95,plankton,,,,,
480.0,0.0301,bricaud95,plankton,,,,,
482.0,0.029599999999999998,bricaud95,plankton,,,,,
484.0,0.029,bricaud95,plankton,,,,,
486.0,0.028499999999999998,bricaud95,plankton,,,,,
488.0,0.0279,bricaud95,plankton,,,,,
490.0,0.0274,bricaud95,plankton,,,,,
492.0,0.026699999999999998,bricaud95,plankton,,,,,
494.0,0.025799999999999997,bricaud95,plankton,,,,,
496.0,0.0249,bricaud95,plankton,,,,,
498.0,0.024,bricaud95,plankton,,,,,
500.0,0.023,bricaud95,plankton,,,,,
502.0,0.022000000000000002,bricaud95,plankton,,,,,
504.0,0.020900000000000002,bricaud95,plankton,,,,,
506.0,0.0199,bricaud95,plankton,,,,,
508.0,0.0189,bricaud95,plankton,,,,,
510.0,0.018000000000000002,bricaud95,plankton,,,,,
512.0,0.0171,bricaud95,plankton,,,,,
514.0,0.016300000000000002,bricaud95,plankton,,,,,
516.0,0.0156,bricaud95,plankton,,,,,
518.0,0.014899999999999998,bricaud95,plankton,,,,,
520.0,0.0143,bricaud95,plankton,,,,,
522.0,0.0137,bricaud95,plankton,,,,,
524.0,0.0131,bricaud95,plankton,,,,,
526.0,0.0126,bricaud95,plankton,,,,,
528.0,0.0121,bricaud95,plankton,,,,,
530.0,0.0117,bricaud95,plankton,,,,,
532.0,0.0113,bricaud95,plankton,,,,,
534.0,0.010799999999999999,bricaud95,plankton,,,,,
536.0,0.0104,bricaud95,plankton,,,,,
538.0,0.01,bricaud95,plankton,,,,,
540.0,0.0097,bricaud95,plankton,,,,,
542.0,0.0093,bricaud95,plankton,,,,,
544.0,0.009000000000000001,bricaud95,plankton,,,,,
546.0,0.0086,bricaud95,plankton,,,,,
548.0,0.0083,bricaud95,plankton,,,,,
550.0,0.008,bricaud95,plankton,,,,,
552.0,0.007600000000000001,bricaud95,plankton,,,,,
554.0,0.0072,bricaud95,plankton,,,,,
556.0,0.0068,bricaud95,plankton,,,,,
558.0,0.0065,bricaud95,plankton,,,,,
560.0,0.006200000000000001,bricaud95,plankton,,,,,
562.0,0.0059,bricaud95,plankton,,,,,
