wavelength,absorption,publication,medium,attenuation,scattering,attenuation_error,absorption_error,measurement
1073.0,14.0537,kou93b,pure water,,,,,
1075.0,14.144499999999999,kou93b,pure water,,,,,
1077.0,14.351600000000001,kou93b,pure water,,,,,
1080.0,14.428099999999999,kou93b,pure water,,,,,
1082.0,14.749799999999999,kou93b,pure water,,,,,
1084.0,15.1863,kou93b,pure water,,,,,
1087.0,15.606800000000002,kou93b,pure water,,,,,
1089.0,16.0397,kou93b,pure water,,,,,
1091.0,16.5862,kou93b,pure water,,,,,
1094.0,17.115099999999998,kou93b,pure water,,,,,
1096.0,17.7718,kou93b,pure water,,,,,
1098.0,18.655,kou93b,pure water,,,,,
1101.0,19.289,kou93b,pure water,,,,,
1103.0,20.0515,kou93b,pure water,,,,,
1106.0,20.7925,kou93b,pure water,,,,,
1108.0,21.662200000000002,kou93b,pure water,,,,,
1111.0,22.5086,kou93b,pure water,,,,,
1113.0,23.3714,kou93b,pure water,,,,,
1116.0,23.5338,kou93b,pure water,,,,,
1118.0,24.5033,kou93b,pure water,,,,,
1121.0,25.782899999999998,kou93b,pure water,,,,,
1123.0,27.1917,kou93b,pure water,,,,,
1126.0,28.9049,kou93b,pure water,,,,,
1128.0,31.638699999999996,kou93b,pure water,,,,,
1131.0,35.3325,kou93b,pure water,,,,,
1133.0,40.3721,kou93b,pure water,,,,,
1136.0,47.1239,kou93b,pure water,,,,,
1139.0,55.7157,kou93b,pure water,,,,,
1141.0,65.1997,kou93b,pure water,,,,,
1144.0,75.3543,kou93b,pure water,,,,,
1146.0,85.9689,kou93b,pure water,,,,,
1149.0,94.9313,kou93b,pure water,,,,,
1152.0,104.06530000000001,kou93b,pure water,,,,,
1154.0,109.983,kou93b,pure water,,,,,
1157.0,114.0423,kou93b,pure water,,,,,
1160.0,116.9972,kou93b,pure water,,,,,
1162.0,118.95880000000001,kou93b,pure water,,,,,
1165.0,119.7311,kou93b,pure water,,,,,
1168.0,120.4994,kou93b,pure water,,,,,
1171.0,121.2639,kou93b,pure water,,,,,
1173.0,123.1997,kou93b,pure water,,,,,
1176.0,122.88539999999999,kou93b,pure water,,,,,
1179.0,123.6386,kou93b,pure water,,,,,
1182.0,124.3879,kou93b,pure water,,,,,
1184.0,125.2392,kou93b,pure water,,,,,
1187.0,125.9813,kou93b,pure water,,,,,
1190.0,126.71969999999999,kou93b,pure water,,,,,
1193.0,127.45439999999999,kou93b,pure water,,,,,
1196.0,128.18540000000002,kou93b,pure water,,,,,
1199.0,127.8646,kou93b,pure water,,,,,
1201.0,126.6054,kou93b,pure water,,,,,
1204.0,127.3336,kou93b,pure water,,,,,
1207.0,125.976,kou93b,pure water,,,,,
1210.0,125.6637,kou93b,pure water,,,,,
1213.0,124.3169,kou93b,pure water,,,,,
1216.0,124.0102,kou93b,pure water,,,,,
1219.0,121.64330000000001,kou93b,pure water,,,,,
1222.0,121.34469999999999,kou93b,pure water,,,,,
1225.0,120.02170000000001,kou93b,pure water,,,,,
1228.0,119.72840000000001,kou93b,pure water,,,,,
1231.0,118.4158,kou93b,pure water,,,,,
1234.0,117.10959999999999,kou93b,pure water,,,,,
1237.0,115.80969999999999,kou93b,pure water,,,,,
1240.0,115.5295,kou93b,pure water,,,,,
1243.0,114.23970000000001,kou93b,pure water,,,,,
1246.0,112.9561,kou93b,pure water,,,,,
1250.0,111.5894,kou93b,pure water,,,,,
1253.0,110.31930000000001,kou93b,pure water,,,,,
1256.0,110.05579999999999,kou93b,pure water,,,,,
1259.0,109.79350000000001,kou93b,pure water,,,,,
1262.0,108.53680000000001,kou93b,pure water,,,,,
1265.0,108.27940000000001,kou93b,pure water,,,,,
1269.0,107.93809999999999,kou93b,pure water,,,,,
1272.0,108.67139999999999,kou93b,pure water,,,,,
1275.0,110.3869,kou93b,pure water,,,,,
1278.0,111.1111,kou93b,pure water,,,,,
1282.0,113.7051,kou93b,pure water,,,,,
1285.0,116.3734,kou93b,pure water,,,,,
1288.0,118.0536,kou93b,pure water,,,,,
1292.0,121.5787,kou93b,pure water,,,,,
1295.0,125.17849999999999,kou93b,pure water,,,,,
1298.0,129.7299,kou93b,pure water,,,,,
1302.0,135.1223,kou93b,pure water,,,,,
1305.0,141.5522,kou93b,pure water,,,,,
1308.0,148.9134,kou93b,pure water,,,,,
1312.0,158.0374,kou93b,pure water,,,,,
1315.0,167.2331,kou93b,pure water,,,,,
1319.0,179.1113,kou93b,pure water,,,,,
1322.0,191.0621,kou93b,pure water,,,,,
1326.0,204.70100000000002,kou93b,pure water,,,,,
1329.0,220.31329999999997,kou93b,pure water,,,,,
1333.0,235.6784,kou93b,pure water,,,,,
1336.0,253.9611,kou93b,pure water,,,,,
1340.0,270.08320000000003,kou93b,pure water,,,,,
1344.0,288.91429999999997,kou93b,pure water,,,,,
1347.0,309.7279,kou93b,pure water,,,,,
1351.0,323.6933,kou93b,pure water,,,,,
1355.0,339.4311,kou93b,pure water,,,,,
1358.0,355.3377,kou93b,pure water,,,,,
1362.0,372.74699999999996,kou93b,pure water,,,,,
1366.0,395.5739,kou93b,pure water,,,,,
1369.0,422.24469999999997,kou93b,pure water,,,,,
1373.0,464.0313,kou93b,pure water,,,,,
1377.0,518.3514,kou93b,pure water,,,,,
1381.0,598.7452000000001,kou93b,pure water,,,,,
1385.0,720.4114,kou93b,pure water,,,,,
1388.0,878.1973,kou93b,pure water,,,,,
1392.0,1101.3629,kou93b,pure water,,,,,
1396.0,1395.2631000000001,kou93b,pure water,,,,,
1400.0,1696.4599,kou93b,pure water,,,,,
1404.0,1969.0892999999999,kou93b,pure water,,,,,
1408.0,2231.2446999999997,kou93b,pure water,,,,,
1412.0,2465.2156,kou93b,pure water,,,,,
1416.0,2635.7429,kou93b,pure water,,,,,
1420.0,2769.9111,kou93b,pure water,,,,,
1424.0,2912.1504,kou93b,pure water,,,,,
1428.0,3027.1928,kou93b,pure water,,,,,
1432.0,3106.4909,kou93b,pure water,,,,,
1437.0,3200.6203,kou93b,pure water,,,,,
1440.0,3220.1323,kou93b,pure water,,,,,
1445.0,3252.4721999999997,kou93b,pure water,,,,,
1449.0,3269.511,kou93b,pure water,,,,,
1453.0,3277.8075,kou93b,pure water,,,,,
1457.0,3268.8087000000005,kou93b,pure water,,,,,
1462.0,3240.4388,kou93b,pure water,,,,,
1466.0,3154.4503,kou93b,pure water,,,,,
1470.0,3060.3813,kou93b,pure water,,,,,
1474.0,2966.8228,kou93b,pure water,,,,,
1479.0,2820.8484,kou93b,pure water,,,,,
1484.0,2692.7936,kou93b,pure water,,,,,
1488.0,2575.768,kou93b,pure water,,,,,
1492.0,2408.835,kou93b,pure water,,,,,
1497.0,2291.6627,kou93b,pure water,,,,,
1501.0,2159.9757,kou93b,pure water,,,,,
1506.0,2044.3298,kou93b,pure water,,,,,
1510.0,1922.4049,kou93b,pure water,,,,,
1515.0,1808.2301000000002,kou93b,pure water,,,,,
1519.0,1704.195,kou93b,pure water,,,,,
1524.0,1607.9017000000001,kou93b,pure water,,,,,
1529.0,1536.8942,kou93b,pure water,,,,,
1533.0,1459.1088,kou93b,pure water,,,,,
1538.0,1380.83,kou93b,pure water,,,,,
1543.0,1278.6261,kou93b,pure water,,,,,
1548.0,1217.6715,kou93b,pure water,,,,,
1552.0,1165.9519,kou93b,pure water,,,,,
1557.0,1097.6405,kou93b,pure water,,,,,
1562.0,1045.8567,kou93b,pure water,,,,,
1567.0,994.4032,kou93b,pure water,,,,,
1572.0,951.2710000000001,kou93b,pure water,,,,,
1577.0,916.3807999999999,kou93b,pure water,,,,,
1582.0,881.7112,kou93b,pure water,,,,,
1587.0,847.26,kou93b,pure water,,,,,
1592.0,813.0252,kou93b,pure water,,,,,
1597.0,786.8735,kou93b,pure water,,,,,
1602.0,760.8851,kou93b,pure water,,,,,
1607.0,738.1863,kou93b,pure water,,,,,
1612.0,719.5260000000001,kou93b,pure water,,,,,
1618.0,698.9946,kou93b,pure water,,,,,
1623.0,680.5816,kou93b,pure water,,,,,
1628.0,666.1411,kou93b,pure water,,,,,
1634.0,649.083,kou93b,pure water,,,,,
1640.0,635.6022,kou93b,pure water,,,,,
1644.0,626.7896999999999,kou93b,pure water,,,,,
1650.0,616.1329000000001,kou93b,pure water,,,,,
1655.0,605.1599,kou93b,pure water,,,,,
1661.0,598.4346,kou93b,pure water,,,,,
1666.0,592.1129,kou93b,pure water,,,,,
1672.0,587.7333,kou93b,pure water,,,,,
1677.0,583.733,kou93b,pure water,,,,,
1683.0,583.8919,kou93b,pure water,,,,,
1689.0,583.3057,kou93b,pure water,,,,,
1690.0,585.2931,kou93b,pure water,,,,,
1700.0,589.141,kou93b,pure water,,,,,
1706.0,592.2252000000001,kou93b,pure water,,,,,
1710.0,601.1599,kou93b,pure water,,,,,
1718.0,613.6894,kou93b,pure water,,,,,
1724.0,627.5896,kou93b,pure water,,,,,
1730.0,644.2989,kou93b,pure water,,,,,
1740.0,665.2358,kou93b,pure water,,,,,
1742.0,691.7995999999999,kou93b,pure water,,,,,
1748.0,726.0889,kou93b,pure water,,,,,
1754.0,759.4271,kou93b,pure water,,,,,
1760.0,792.5381,kou93b,pure water,,,,,
1770.0,839.6555,kou93b,pure water,,,,,
1773.0,871.7786,kou93b,pure water,,,,,
1779.0,897.0933,kou93b,pure water,,,,,
1785.0,915.1977999999999,kou93b,pure water,,,,,
1792.0,918.6353,kou93b,pure water,,,,,
1798.0,915.5697999999999,kou93b,pure water,,,,,
1805.0,925.9431,kou93b,pure water,,,,,
1810.0,915.9364,kou93b,pure water,,,,,
1818.0,919.3218999999999,kou93b,pure water,,,,,
1824.0,923.1873,kou93b,pure water,,,,,
1831.0,940.2471999999999,kou93b,pure water,,,,,
1838.0,970.8512000000001,kou93b,pure water,,,,,
1845.0,1008.034,kou93b,pure water,,,,,
1851.0,1113.3899,kou93b,pure water,,,,,
1860.0,1278.2798,kou93b,pure water,,,,,
1865.0,1576.692,kou93b,pure water,,,,,
1872.0,2154.8102,kou93b,pure water,,,,,
1879.0,3176.7034,kou93b,pure water,,,,,
1890.0,4868.0532,kou93b,pure water,,,,,
1894.0,7298.3142,kou93b,pure water,,,,,
1901.0,9849.4957,kou93b,pure water,,,,,
1908.0,11723.3431,kou93b,pure water,,,,,
1920.0,12861.6633,kou93b,pure water,,,,,
1923.0,13461.634,kou93b,pure water,,,,,
1930.0,13673.252299999998,kou93b,pure water,,,,,
1940.0,13501.058699999998,kou93b,pure water,,,,,
1945.0,13050.9344,kou93b,pure water,,,,,
1953.0,12354.035,kou93b,pure water,,,,,
1960.0,11540.5439,kou93b,pure water,,,,,
1968.0,10727.389,kou93b,pure water,,,,,
1976.0,9920.8184,kou93b,pure water,,,,,
1984.0,9120.752400000001,kou93b,pure water,,,,,
1992.0,8390.1968,kou93b,pure water,,,,,
2000.0,7728.3175,kou93b,pure water,,,,,
2008.0,7071.7122,kou93b,pure water,,,,,
2016.0,6544.9844,kou93b,pure water,,,,,
2024.0,6016.2117,kou93b,pure water,,,,,
2032.0,5541.0765,kou93b,pure water,,,,,
2040.0,5118.9478,kou93b,pure water,,,,,
2050.0,4765.2853000000005,kou93b,pure water,,,,,
2057.0,4398.535,kou93b,pure water,,,,,
2066.0,4044.8383999999996,kou93b,pure water,,,,,
2074.0,3756.5812,kou93b,pure water,,,,,
2083.0,3499.0373,kou93b,pure water,,,,,
2092.0,3261.7299000000003,kou93b,pure water,,,,,
2100.0,2872.3131,kou93b,pure water,,,,,
2100.0,3045.8487,kou93b,pure water,,,,,
2118.0,2693.6412,kou93b,pure water,,,,,
2127.0,2552.2670000000003,kou93b,pure water,,,,,
2136.0,2429.7335,kou93b,pure water,,,,,
2145.0,2319.9452,kou93b,pure water,,,,,
2155.0,2233.3734,kou93b,pure water,,,,,
2164.0,2166.0148,kou93b,pure water,,,,,
2173.0,2104.9971,kou93b,pure water,,,,,
2183.0,2066.5721000000003,kou93b,pure water,,,,,
2193.0,2028.4975,kou93b,pure water,,,,,
2202.0,2014.4998,kou93b,pure water,,,,,
2212.0,2005.3927,kou93b,pure water,,,,,
2222.0,2013.3337999999999,kou93b,pure water,,,,,
2232.0,2038.0941,kou93b,pure water,,,,,
2242.0,2073.8434,kou93b,pure water,,,,,
2252.0,2120.4354,kou93b,pure water,,,,,
2262.0,2194.3926,kou93b,pure water,,,,,
2272.0,2278.7608,kou93b,pure water,,,,,
2283.0,2388.8763,kou93b,pure water,,,,,
2293.0,2520.9464000000003,kou93b,pure water,,,,,
2304.0,2667.0811,kou93b,pure water,,,,,
2314.0,2845.6257,kou93b,pure water,,,,,
2325.0,3048.3581,kou93b,pure water,,,,,
2336.0,3265.3196000000003,kou93b,pure water,,,,,
2347.0,3614.103,kou93b,pure water,,,,,
2358.0,3789.0963,kou93b,pure water,,,,,
2369.0,4084.4681,kou93b,pure water,,,,,
2381.0,4406.9378,kou93b,pure water,,,,,
2392.0,4754.4167,kou93b,pure water,,,,,
2403.0,5145.7795,kou93b,pure water,,,,,
2415.0,5567.7084,kou93b,pure water,,,,,
2427.0,6057.9534,kou93b,pure water,,,,,
2439.0,6543.3743,kou93b,pure water,,,,,
2451.0,7177.8531,kou93b,pure water,,,,,
2463.0,7959.2112,kou93b,pure water,,,,,
2475.0,8682.2193,kou93b,pure water,,,,,
2487.0,9448.778400000001,kou93b,pure water,,,,,
2500.0,10053.096,kou93b,pure water,,,,,
300.0,,morel07,clearest ocean water,,0.0226,,,
305.0,,morel07,clearest ocean water,,0.0211,,,
310.0,,morel07,clearest ocean water,,0.0197,,,
315.0,,morel07,clearest ocean water,,0.0185,,,
320.0,,morel07,clearest ocean water,,0.0173,,,
325.0,,morel07,clearest ocean water,,0.0162,,,
330.0,,morel07,clearest ocean water,,0.0152,,,
335.0,,morel07,clearest ocean water,,0.0144,,,
340.0,,morel07,clearest ocean water,,0.0135,,,
345.0,,morel07,clearest ocean water,,0.0127,,,
350.0,,morel07,clearest ocean water,,0.0121,,,
355.0,,morel07,clearest ocean water,,0.0113,,,
360.0,,morel07,clearest ocean water,,0.0107,,,
365.0,,morel07,clearest ocean water,,0.0099,,,
370.0,,morel07,clearest ocean water,,0.0095,,,
375.0,,morel07,clearest ocean water,,0.0089,,,
380.0,,morel07,clearest ocean water,,0.0085,,,
385.0,,morel07,clearest ocean water,,0.0081,,,
390.0,,morel07,clearest ocean water,,0.0077,,,
395.0,,morel07,clearest ocean water,,0.0072,,,
400.0,,morel07,clearest ocean water,,0.0069,,,
405.0,,morel07,clearest ocean water,,0.0065,,,
410.0,,morel07,clearest ocean water,,0.0062,,,
415.0,,morel07,clearest ocean water,,0.0059,,,
420.0,,morel07,clearest ocean water,,0.0056,,,
425.0,,morel07,clearest ocean water,,0.0054,,,
430.0,,morel07,clearest ocean water,,0.0051,,,
435.0,,morel07,clearest ocean water,,0.0049,,,
440.0,,morel07,clearest ocean water,,0.0047,,,
445.0,,morel07,clearest ocean water,,0.0044,,,
450.0,,morel07,clearest ocean water,,0.0043,,,
455.0,,morel07,clearest ocean water,,0.004,,,
460.0,,morel07,clearest ocean water,,0.0039,,,
465.0,,morel07,clearest ocean water,,0.0037,,,
470.0,,morel07,clearest ocean water,,0.0035,,,
475.0,,morel07,clearest ocean water,,0.0034,,,
480.0,,morel07,clearest ocean water,,0.0033,,,
485.0,,morel07,clearest ocean water,,0.0031,,,
490.0,,morel07,clearest ocean water,,0.003,,,
495.0,,morel07,clearest ocean water,,0.0029,,,
500.0,,morel07,clearest ocean water,,0.0027,,,
300.0,0.0382,morel07,pure water,,,,,
305.0,0.0335,morel07,pure water,,,,,
310.0,0.0288,morel07,pure water,,,,,
315.0,0.02515,morel07,pure water,,,,,
320.0,0.0215,morel07,pure water,,,,,
325.0,0.01875,morel07,pure water,,,,,
330.0,0.016,morel07,pure water,,,,,
335.0,0.01395,morel07,pure water,,,,,
340.0,0.0119,morel07,pure water,,,,,
345.0,0.0105,morel07,pure water,,,,,
350.0,0.0091,morel07,pure water,,,,,
355.0,0.0081,morel07,pure water,,,,,
360.0,0.0071,morel07,pure water,,,,,
365.0,0.00656,morel07,pure water,,,,,
370.0,0.00602,morel07,pure water,,,,,
375.0,0.00561,morel07,pure water,,,,,
380.0,0.0052,morel07,pure water,,,,,
385.0,0.00499,morel07,pure water,,,,,
390.0,0.00478,morel07,pure water,,,,,
395.0,0.00469,morel07,pure water,,,,,
400.0,0.0046,morel07,pure water,,,,,
405.0,0.0046,morel07,pure water,,,,,
410.0,0.0046,morel07,pure water,,,,,
415.0,0.00457,morel07,pure water,,,,,
420.0,0.00454,morel07,pure water,,,,,
425.0,0.00475,morel07,pure water,,,,,
430.0,0.00495,morel07,pure water,,,,,
435.0,0.00565,morel07,pure water,,,,,
440.0,0.00635,morel07,pure water,,,,,
445.0,0.00779,morel07,pure water,,,,,
450.0,0.00922,morel07,pure water,,,,,
455.0,0.00951,morel07,pure water,,,,,
460.0,0.00979,morel07,pure water,,,,,
465.0,0.01011,morel07,pure water,,,,,
470.0,0.0106,morel07,pure water,,,,,
475.0,0.0114,morel07,pure water,,,,,
480.0,0.0127,morel07,pure water,,,,,
485.0,0.0136,morel07,pure water,,,,,
490.0,0.015,morel07,pure water,,,,,
495.0,0.0173,morel07,pure water,,,,,
500.0,0.0204,morel07,pure water,,,,,
380.0,0.023,morel77,pure water,0.03,0.0073,,,
390.0,0.02,morel77,pure water,0.027,0.0066,,,
400.0,0.018,morel77,pure water,0.024,0.0058,,,
410.0,0.017,morel77,pure water,0.022,0.0052,,,
420.0,0.016,morel77,pure water,0.021,0.0047,,,
430.0,0.015,morel77,pure water,0.019,0.0043,,,
440.0,0.015,morel77,pure water,0.019,0.0039,,,
450.0,0.015,morel77,pure water,0.018,0.0035,,,
460.0,0.016,morel77,pure water,0.019,0.0032,,,
470.0,0.016,morel77,pure water,0.019,0.0029,,,
480.0,0.018,morel77,pure water,0.021,0.0027,,,
490.0,0.02,morel77,pure water,0.022,0.0024,,,
500.0,0.026,morel77,pure water,0.028,0.0022,,,
510.0,0.036,morel77,pure water,0.038,0.002,,,
520.0,0.048,morel77,pure water,0.05,0.0018,,,
530.0,0.051,morel77,pure water,0.053,0.0017,,,
540.0,0.056,morel77,pure water,0.058,0.0016,,,
550.0,0.064,morel77,pure water,0.066,0.0015,,,
560.0,0.071,morel77,pure water,0.072,0.0013,,,
570.0,0.08,morel77,pure water,0.081,0.0013,,,
580.0,0.108,morel77,pure water,0.109,0.0012,,,
590.0,0.157,morel77,pure water,0.158,0.0011,,,
600.0,0.245,morel77,pure water,0.245,0.00101,,,
610.0,0.29,morel77,pure water,0.29,0.00094,,,
620.0,0.31,morel77,pure water,0.31,0.00088,,,
630.0,0.32,morel77,pure water,0.32,0.00088,,,
640.0,0.33,morel77,pure water,0.33,0.00076,,,
650.0,0.35,morel77,pure water,0.35,0.00071,,,
660.0,0.41,morel77,pure water,0.41,0.00067,,,
670.0,0.45,morel77,pure water,0.45,0.00063,,,
680.0,0.45,morel77,pure water,0.45,0.00059,,,
690.0,0.5,morel77,pure water,0.5,0.00055,,,
700.0,0.65,morel77,pure water,0.65,0.00052,,,
690.0,0.49,palmer74,,,,,,
702.0,0.69,palmer74,,,,,,
714.0,0.98,palmer74,,,,,,
725.0,1.34,palmer74,,,,,,
735.0,2.3800000000000003,palmer74,,,,,,
746.0,2.75,palmer74,,,,,,
752.0,2.81,palmer74,,,,,,
758.0,2.7199999999999998,palmer74,,,,,,
769.0,2.5100000000000002,palmer74,,,,,,
781.0,2.3,palmer74,,,,,,
794.0,2.1,palmer74,,,,,,
806.0,1.95,palmer74,,,,,,
813.0,1.91,palmer74,,,,,,
820.0,1.9900000000000002,palmer74,,,,,,
833.0,3.08,palmer74,,,,,,
847.0,3.8699999999999997,palmer74,,,,,,
862.0,4.279999999999999,palmer74,,,,,,
877.0,5.06,palmer74,,,,,,
893.0,6.09,palmer74,,,,,,
909.0,7.5,palmer74,,,,,,
926.0,11.899999999999999,palmer74,,,,,,
935.0,15.8,palmer74,,,,,,
943.0,21.4,palmer74,,,,,,
952.0,32.2,palmer74,,,,,,
962.0,47.099999999999994,palmer74,,,,,,
973.0,51.4,palmer74,,,,,,
980.0,50.2,palmer74,,,,,,
990.0,46.9,palmer74,,,,,,
1000.0,41.6,palmer74,,,,,,
1010.0,35.099999999999994,palmer74,,,,,,
1020.0,28.499999999999996,palmer74,,,,,,
1031.0,23.1,palmer74,,,,,,
1042.0,19.0,palmer74,,,,,,
1053.0,16.400000000000002,palmer74,,,,,,
1070.0,14.799999999999999,palmer74,,,,,,
1087.0,16.6,palmer74,,,,,,
1099.0,19.2,palmer74,,,,,,
1111.0,23.200000000000003,palmer74,,,,,,
1124.0,32.300000000000004,palmer74,,,,,,
1136.0,54.800000000000004,palmer74,,,,,,
1149.0,97.0,palmer74,,,,,,
1163.0,118.0,palmer74,,,,,,
1176.0,123.0,palmer74,,,,,,
1190.0,125.0,palmer74,,,,,,
1205.0,125.0,palmer74,,,,,,
1220.0,122.0,palmer74,,,,,,
1235.0,117.0,palmer74,,,,,,
1250.0,111.00000000000001,palmer74,,,,,,
1266.0,107.0,palmer74,,,,,,
1282.0,112.99999999999999,palmer74,,,,,,
1299.0,134.0,palmer74,,,,,,
1316.0,167.0,palmer74,,,,,,
1333.0,225.0,palmer74,,,,,,
1351.0,387.0,palmer74,,,,,,
1370.0,545.0,palmer74,,,,,,
1389.0,913.0000000000001,palmer74,,,,,,
1408.0,2150.0,palmer74,,,,,,
1429.0,3100.0,palmer74,,,,,,
1443.0,3170.0,palmer74,,,,,,
1471.0,2850.0,palmer74,,,,,,
1493.0,2170.0,palmer74,,,,,,
1515.0,1560.0,palmer74,,,,,,
1538.0,1210.0,palmer74,,,,,,
1563.0,968.0,palmer74,,,,,,
1587.0,807.0,palmer74,,,,,,
1613.0,680.0,palmer74,,,,,,
1639.0,607.0,palmer74,,,,,,
1667.0,565.0,palmer74,,,,,,
1695.0,565.0,palmer74,,,,,,
1724.0,623.0,palmer74,,,,,,
1754.0,760.0,palmer74,,,,,,
1786.0,918.0,palmer74,,,,,,
1802.0,948.0,palmer74,,,,,,
1818.0,944.0,palmer74,,,,,,
1852.0,1080.0,palmer74,,,,,,
1887.0,5750.0,palmer74,,,,,,
1927.0,12400.0,palmer74,,,,,,
1961.0,10900.0,palmer74,,,,,,
2000.0,6920.0,palmer74,,,,,,
2041.0,4500.0,palmer74,,,,,,
2083.0,3100.0,palmer74,,,,,,
2128.0,2360.0,palmer74,,,,,,
2198.0,1930.0,palmer74,,,,,,
2273.0,2300.0,palmer74,,,,,,
2326.0,2930.0,palmer74,,,,,,
2381.0,4180.0,palmer74,,,,,,
2439.0,6350.0,palmer74,,,,,,
2500.0,9570.0,palmer74,,,,,,
2564.0,11100.0,palmer74,,,,,,
2632.0,19300.0,palmer74,,,,,,
382.5,0.0102,pope93,pure water,,,,,
385.0,0.0095,pope93,pure water,,,,,
387.5,0.0091,pope93,pure water,,,,,
390.0,0.0087,pope93,pure water,,,,,
392.5,0.0084,pope93,pure water,,,,,
395.0,0.0081,pope93,pure water,,,,,
397.5,0.008,pope93,pure water,,,,,
400.0,0.006999999999999999,pope93,pure water,,,,,
402.5,0.0065,pope93,pure water,,,,,
405.0,0.006,pope93,pure water,,,,,
407.5,0.0059,pope93,pure water,,,,,
410.0,0.0056,pope93,pure water,,,,,
412.5,0.005399999999999999,pope93,pure water,,,,,
415.0,0.0052,pope93,pure water,,,,,
417.5,0.0051,pope93,pure water,,,,,
420.0,0.005399999999999999,pope93,pure water,,,,,
422.5,0.0057,pope93,pure water,,,,,
425.0,0.0060999999999999995,pope93,pure water,,,,,
427.5,0.006,pope93,pure water,,,,,
430.0,0.0063999999999999994,pope93,pure water,,,,,
432.5,0.0063,pope93,pure water,,,,,
435.0,0.0069,pope93,pure water,,,,,
437.5,0.006999999999999999,pope93,pure water,,,,,
440.0,0.0083,pope93,pure water,,,,,
442.5,0.0086,pope93,pure water,,,,,
445.0,0.0095,pope93,pure water,,,,,
447.5,0.0098,pope93,pure water,,,,,
450.0,0.011000000000000001,pope93,pure water,,,,,
452.5,0.0116,pope93,pure water,,,,,
455.0,0.012,pope93,pure water,,,,,
457.5,0.0118,pope93,pure water,,,,,
460.0,0.012199999999999999,pope93,pure water,,,,,
462.5,0.0123,pope93,pure water,,,,,
465.0,0.0125,pope93,pure water,,,,,
467.5,0.012400000000000001,pope93,pure water,,,,,
470.0,0.013,pope93,pure water,,,,,
472.5,0.0135,pope93,pure water,,,,,
475.0,0.0143,pope93,pure water,,,,,
477.5,0.014899999999999998,pope93,pure water,,,,,
480.0,0.0157,pope93,pure water,,,,,
482.5,0.016,pope93,pure water,,,,,
485.0,0.0168,pope93,pure water,,,,,
487.5,0.0172,pope93,pure water,,,,,
490.0,0.0185,pope93,pure water,,,,,
492.5,0.0193,pope93,pure water,,,,,
495.0,0.0213,pope93,pure water,,,,,
497.5,0.0228,pope93,pure water,,,,,
500.0,0.0242,pope93,pure water,,,,,
502.5,0.0272,pope93,pure water,,,,,
505.0,0.03,pope93,pure water,,,,,
507.5,0.033100000000000004,pope93,pure water,,,,,
510.0,0.038200000000000005,pope93,pure water,,,,,
512.5,0.0435,pope93,pure water,,,,,
515.0,0.0462,pope93,pure water,,,,,
517.5,0.0466,pope93,pure water,,,,,
520.0,0.0474,pope93,pure water,,,,,
522.5,0.0485,pope93,pure water,,,,,
525.0,0.0485,pope93,pure water,,,,,
527.5,0.0499,pope93,pure water,,,,,
530.0,0.0505,pope93,pure water,,,,,
532.5,0.0521,pope93,pure water,,,,,
535.0,0.052700000000000004,pope93,pure water,,,,,
537.5,0.0542,pope93,pure water,,,,,
540.0,0.055099999999999996,pope93,pure water,,,,,
542.5,0.0568,pope93,pure water,,,,,
545.0,0.0594,pope93,pure water,,,,,
547.5,0.062299999999999994,pope93,pure water,,,,,
550.0,0.0654,pope93,pure water,,,,,
552.5,0.0686,pope93,pure water,,,,,
555.0,0.06899999999999999,pope93,pure water,,,,,
557.5,0.0701,pope93,pure water,,,,,
560.0,0.07150000000000001,pope93,pure water,,,,,
562.5,0.074,pope93,pure water,,,,,
565.0,0.07429999999999999,pope93,pure water,,,,,
567.5,0.0776,pope93,pure water,,,,,
570.0,0.0804,pope93,pure water,,,,,
572.5,0.0846,pope93,pure water,,,,,
575.0,0.089,pope93,pure water,,,,,
577.5,0.0962,pope93,pure water,,,,,
580.0,0.1016,pope93,pure water,,,,,
582.5,0.1112,pope93,pure water,,,,,
585.0,0.1235,pope93,pure water,,,,,
587.5,0.1387,pope93,pure water,,,,,
590.0,0.1487,pope93,pure water,,,,,
592.5,0.1652,pope93,pure water,,,,,
595.0,0.1818,pope93,pure water,,,,,
597.5,0.2087,pope93,pure water,,,,,
600.0,0.2417,pope93,pure water,,,,,
602.5,0.2671,pope93,pure water,,,,,
605.0,0.2795,pope93,pure water,,,,,
607.5,0.2842,pope93,pure water,,,,,
610.0,0.2876,pope93,pure water,,,,,
612.5,0.2883,pope93,pure water,,,,,
615.0,0.2916,pope93,pure water,,,,,
617.5,0.2915,pope93,pure water,,,,,
620.0,0.30469999999999997,pope93,pure water,,,,,
622.5,0.30820000000000003,pope93,pure water,,,,,
625.0,0.3135,pope93,pure water,,,,,
627.5,0.3182,pope93,pure water,,,,,
630.0,0.3184,pope93,pure water,,,,,
632.5,0.3281,pope93,pure water,,,,,
635.0,0.33089999999999997,pope93,pure water,,,,,
637.5,0.33409999999999995,pope93,pure water,,,,,
640.0,0.3382,pope93,pure water,,,,,
642.5,0.3482,pope93,pure water,,,,,
645.0,0.3513,pope93,pure water,,,,,
647.5,0.35769999999999996,pope93,pure water,,,,,
650.0,0.3594,pope93,pure water,,,,,
652.5,0.3801,pope93,pure water,,,,,
