,wavelength,absorbance,label
0,199.96975991043075,2.289656035021883,UV absorbance of TEA
1,200.32616296530546,2.301569173463175,UV absorbance of TEA
2,200.76749508373018,2.316761110124549,UV absorbance of TEA
3,201.27860586327552,2.33405415421675,UV absorbance of TEA
4,201.8443449015122,2.3522706149505233,UV absorbance of TEA
5,202.4495617960108,2.3702328015366194,UV absorbance of TEA
6,203.0791061443421,2.3867630231857806,UV absorbance of TEA
7,203.71782754407667,2.400683589108755,UV absorbance of TEA
8,204.35057559278525,2.410816808516291,UV absorbance of TEA
9,204.96219988803844,2.4159849906191297,UV absorbance of TEA
10,204.96219988803844,2.4159849906191297,UV absorbance of TEA
11,205.31813099995435,2.4156212859374486,UV absorbance of TEA
12,205.63273437700335,2.413305126403584,UV absorbance of TEA
13,205.9100714845024,2.409400319644215,UV absorbance of TEA
14,206.15420378776855,2.404270673286023,UV absorbance of TEA
15,206.3691927521188,2.398279994955687,UV absorbance of TEA
16,206.55909984287015,2.3917920922798905,UV absorbance of TEA
17,206.72798652533956,2.385170772885311,UV absorbance of TEA
18,206.8799142648441,2.378779844398625,UV absorbance of TEA
19,207.01894452670075,2.3729831144465208,UV absorbance of TEA
20,207.01894452670075,2.3729831144465208,UV absorbance of TEA
21,207.44532604336482,2.3508925245630983,UV absorbance of TEA
22,207.83099989620268,2.328544778072022,UV absorbance of TEA
23,208.18306589863118,2.305984758992882,UV absorbance of TEA
24,208.50862386406703,2.2832573513452696,UV absorbance of TEA
25,208.81477360592692,2.260407439148773,UV absorbance of TEA
26,209.10861493762766,2.237479906422989,UV absorbance of TEA
27,209.397247672586,2.2145196371875,UV absorbance of TEA
28,209.6877716242186,2.1915715154619013,UV absorbance of TEA
29,209.98728660594236,2.1686804252657823,UV absorbance of TEA
30,209.98728660594236,2.1686804252657823,UV absorbance of TEA
31,211.67085354565774,2.022567739954062,UV absorbance of TEA
32,213.3091036268106,1.8729320708844877,UV absorbance of TEA
33,214.97921502494142,1.7212572672735198,UV absorbance of TEA
34,216.75836591559056,1.5690271783376215,UV absorbance of TEA
35,218.72373447429854,1.4177256532932467,UV absorbance of TEA
36,220.95249887660572,1.268836541356861,UV absorbance of TEA
37,223.52183729805253,1.1238436917449215,UV absorbance of TEA
38,226.50892791417945,0.9842309536738879,UV absorbance of TEA
39,229.9909489005269,0.8514821763602204,UV absorbance of TEA
40,229.9909489005269,0.8514821763602204,UV absorbance of TEA
41,230.9590985424434,0.8145687076370569,UV absorbance of TEA
42,231.9605563337663,0.7790822624908682,UV absorbance of TEA
43,232.99616970491792,0.7447580663840774,UV absorbance of TEA
44,234.0667860863207,0.7113313447790961,UV absorbance of TEA
45,235.17325290839696,0.6785373231383418,UV absorbance of TEA
46,236.31641760156913,0.6461112269242318,UV absorbance of TEA
47,237.49712759625953,0.6137882815991778,UV absorbance of TEA
48,238.71623032289062,0.5813037126255999,UV absorbance of TEA
49,239.97457321188472,0.5483927454659125,UV absorbance of TEA
50,239.97457321188472,0.5483927454659125,UV absorbance of TEA
51,240.48756487358705,0.5379439996362578,UV absorbance of TEA
52,241.00589948075725,0.5275568149160395,UV absorbance of TEA
53,241.53175761655547,0.5173001644546338,UV absorbance of TEA
54,242.0673198641416,0.507243021401403,UV absorbance of TEA
55,242.61476680667573,0.4974543589057263,UV absorbance of TEA
56,243.17627902731783,0.4880031501169684,UV absorbance of TEA
57,243.75403710922797,0.478958368184503,UV absorbance of TEA
58,244.35022163556616,0.4703889862576978,UV absorbance of TEA
59,244.96701318949238,0.4623639774859262,UV absorbance of TEA
60,244.96701318949238,0.4623639774859262,UV absorbance of TEA
61,245.19860455595907,0.45988561094854263,UV absorbance of TEA
62,245.4483950074722,0.45746489361062986,UV absorbance of TEA
63,245.7118890289862,0.45511870845203894,UV absorbance of TEA
64,245.98459110545556,0.45286393845261563,UV absorbance of TEA
65,246.26200572183473,0.45071746659220246,UV absorbance of TEA
66,246.53963736307816,0.44869617585064503,UV absorbance of TEA
67,246.81299051414032,0.44681694920779447,UV absorbance of TEA
68,247.0775696599757,0.4450966696434906,UV absorbance of TEA
69,247.32887928553868,0.4435522201375848,UV absorbance of TEA
70,247.32887928553868,0.4435522201375848,UV absorbance of TEA
71,247.46948728371018,0.4432410517204246,UV absorbance of TEA
72,247.60799737486042,0.44268055051553873,UV absorbance of TEA
73,247.74510197165154,0.4419549255321604,UV absorbance of TEA
74,247.88149348674582,0.4411483857795203,UV absorbance of TEA
75,248.01786433280543,0.4403451402668487,UV absorbance of TEA
76,248.1549069224925,0.43962939800338174,UV absorbance of TEA
77,248.2933136684693,0.4390853679983443,UV absorbance of TEA
78,248.4337769833979,0.43879725926097524,UV absorbance of TEA
79,248.5769892799406,0.43884928080049945,UV absorbance of TEA
80,248.5769892799406,0.43884928080049945,UV absorbance of TEA
81,248.7452455568519,0.4374984365228265,UV absorbance of TEA
82,248.7452455568519,0.4374984365228265,UV absorbance of TEA
83,248.94740421791698,0.43682301438398863,UV absorbance of TEA
84,248.94740421791698,0.43682301438398863,UV absorbance of TEA
85,249.1495628789821,0.43682301438398863,UV absorbance of TEA
86,249.1495628789821,0.43682301438398863,UV absorbance of TEA
87,249.3517215400472,0.43614759224515076,UV absorbance of TEA
88,249.3517215400472,0.43614759224515076,UV absorbance of TEA
89,249.7911968901887,0.43614759224515076,UV absorbance of TEA
90,249.7911968901887,0.43614759224515076,UV absorbance of TEA
91,249.95945316710004,0.4347967479674779,UV absorbance of TEA
92,249.95945316710004,0.4347967479674779,UV absorbance of TEA
