wavelength[nm],relative_response,color
400.0,0.07825595086925403,red
401.666491887762,0.07690531711033638,red
403.332983775524,0.07619536859603353,red
404.9994756632859,0.0742040495925011,red
404.9994756632859,0.0742040495925011,red
406.6659675510479,0.07221273058896868,red
408.3324594388099,0.06885923394823724,red
409.9989513265719,0.0663022649089188,red
409.9989513265719,0.0663022649089188,red
411.6672409402106,0.06374529586960037,red
413.3337328279726,0.061136379378015825,red
415.0002247157346,0.0588680072957311,red
415.0002247157346,0.0588680072957311,red
416.6667166034966,0.05659386327430567,red
418.3332084912586,0.05462563202733593,red
419.9997003790205,0.05267471659778822,red
419.9997003790205,0.05267471659778822,red
421.6661922667825,0.05072957310738116,red
423.3326841545445,0.048801745434396165,red
424.9991760423065,0.047168286657585504,red
424.9991760423065,0.047168286657585504,red
426.6656679300685,0.04554059981991554,red
428.3321598178304,0.044230369634982586,red
430.0004494314692,0.04290282363262766,red
430.0004494314692,0.04290282363262766,red
431.66694131923117,0.04156950569113202,red
433.33343320699316,0.04034585459330922,red
434.9999250947551,0.03917415094775244,red
434.9999250947551,0.03917415094775244,red
436.66641698251715,0.03800821924133636,red
438.3329088702791,0.03687691916976429,red
439.9994007580411,0.03588991757670909,red
439.9994007580411,0.03588991757670909,red
441.66589264580307,0.03489714404451323,red
443.332384533565,0.03397940572114608,red
444.99887642132705,0.03323482557199918,red
444.99887642132705,0.03323482557199918,red
446.66536830908905,0.03249024542285229,red
448.331860196851,0.031895735691362885,red
449.998352084613,0.03142243668182764,red
449.998352084613,0.03142243668182764,red
451.66664169825174,0.030954909611433053,red
453.33313358601373,0.03052778611502321,red
454.99962547377567,0.030418119271350418,red
454.99962547377567,0.030418119271350418,red
456.66611736153766,0.030302680488536928,red
458.33260924929965,0.03041234733220976,red
459.99910113706164,0.03074134786322813,red
459.99910113706164,0.03074134786322813,red
461.66559302482364,0.031076120333387205,red
463.33208491258563,0.031768753030268035,red
464.99857680034756,0.03240943827488284,red
464.99857680034756,0.03240943827488284,red
466.6650686881096,0.03304435158035694,red
468.33156057587155,0.033881282755754645,red
469.9998501895103,0.03457968739177614,red
469.9998501895103,0.03457968739177614,red
471.6663420772723,0.03527809202779767,red
473.33283396503424,0.035936093089834455,red
474.99932585279623,0.03659986609101194,red
474.99932585279623,0.03659986609101194,red
476.6658177405583,0.03726941103133009,red
478.3323096283202,0.03797935954563294,red
479.9988015160822,0.038573869277122336,red
479.9988015160822,0.038573869277122336,red
481.6652934038442,0.03916837900861174,red
483.33178529160614,0.03965322189642831,red
485.0054680828752,0.04017269641908896,red
485.0054680828752,0.04017269641908896,red
486.65937588949987,0.040692170941749616,red
488.3312609548921,0.04103848729019001,red
490.00314602028436,0.041696488352226835,red
490.00314602028436,0.041696488352226835,red
491.657053826909,0.04235448941426362,red
