,wavelength,excitation,emission
0,250.0,0.2486916050594436,
1,250.5,0.2470565712712351,
2,251.0,0.252376805615655,
3,251.5,0.2652283950806187,
4,252.0,0.274015350621966,
5,252.5,0.279181061295523,
6,253.0,0.2848184316019835,
7,253.5,0.2915697275406184,
8,254.0,0.2976113311084123,
9,254.5,0.3083633759969935,
10,255.0,0.3189213189247801,
11,255.5,0.3250742165349698,
12,256.0,0.3348890189052804,
13,256.5,0.3433817747304153,
14,257.0,0.349943022584432,
15,257.5,0.3599724086684404,
16,258.0,0.3701932171910955,
17,258.5,0.3802647881588292,
18,259.0,0.3901871560903922,
19,259.5,0.3981598854857511,
20,260.0,0.4086421031041157,
21,260.5,0.4200563582278023,
22,261.0,0.4281387625452113,
23,261.5,0.4374841970034968,
24,262.0,0.4478182450057754,
25,262.5,0.4577373136925744,
26,263.0,0.4678043222376247,
27,263.5,0.4774047443749714,
28,264.0,0.4881537664347821,
29,264.5,0.5000430032956946,
30,265.0,0.5080497103343061,
31,265.5,0.5192167724540263,
32,266.0,0.5322175308400219,
33,266.5,0.5381720790918579,
34,267.0,0.5501157856196102,
35,267.5,0.5613443560750738,
36,268.0,0.5655104365890702,
37,268.5,0.5781190395340046,
38,269.0,0.5895696769616801,
39,269.5,0.5976049122228931,
40,270.0,0.6097101969218715,
41,270.5,0.6179048933929485,
42,271.0,0.6242822253870198,
43,271.5,0.6329574086359436,
44,272.0,0.6414249302659071,
45,272.5,0.6492530492651767,
46,273.0,0.654810342241175,
47,273.5,0.6578411991488956,
48,274.0,0.663814249107313,
49,274.5,0.6703140029412055,
50,275.0,0.6749879642112626,
51,275.5,0.6799475785280468,
52,276.0,0.6849944739244592,
53,276.5,0.6899930350149824,
54,277.0,0.6950000159052684,
55,277.5,0.6997642947365202,
56,278.0,0.7055687493981811,
57,278.5,0.7124060241324017,
58,279.0,0.7189833867500498,
59,279.5,0.7261174786359734,
60,280.0,0.7316262720737838,
61,280.5,0.7346823407801218,
62,281.0,0.7392841291248424,
63,281.5,0.744800338455948,
64,282.0,0.7493739904848788,
65,282.5,0.7526098296820858,
66,283.0,0.7567269662829035,
67,283.5,0.7628681786714668,
68,284.0,0.7695067426108452,
69,284.5,0.7741644359134419,
70,285.0,0.7813566538534243,
71,285.5,0.7894377608564156,
72,286.0,0.7971434666195168,
73,286.5,0.8154684209035965,
74,287.0,0.8342533688417022,
75,287.5,0.8487799349920465,
76,288.0,0.8687358298973379,
77,288.5,0.8876612189416214,
78,289.0,0.9063780986088518,
79,289.5,0.9268302893867696,
80,290.0,0.9409344826360888,
81,290.5,0.954934058151383,
82,291.0,0.9694665489695934,
83,291.5,0.977750840948653,
84,292.0,0.9861344397053692,
85,292.5,0.9931439634827328,
86,293.0,0.9940253628142602,
87,293.5,0.9895254303169402,
88,294.0,0.9842606907371062,
89,294.5,0.9790677561576132,
90,295.0,0.9722686404333928,
91,295.5,0.9658674160150044,
92,296.0,0.9529779225743756,
93,296.5,0.9340011651077368,
94,297.0,0.9200322040167572,
95,297.5,0.8983663101518691,
96,298.0,0.8741740783559386,
97,298.5,0.8553771891820895,
98,299.0,0.821061593318681,
99,299.5,0.7927740848405794,
100,300.0,0.7730147426410985,
101,300.5,0.7341731956909077,
102,301.0,0.7024980145304481,
103,301.5,0.671839033006561,
104,302.0,0.6305477925472059,
105,302.5,0.6043229106048441,
106,303.0,0.5752932575615322,
107,303.5,0.5401215655165594,
108,304.0,0.5147108198778942,
109,304.5,0.4788512779951432,
110,305.0,0.4433119442891851,
111,305.5,0.4178774870491808,
112,306.0,0.383254440640759,
113,306.5,0.3514204795352724,
114,307.0,0.3231920782899329,
115,307.5,0.2906162257617843,
116,308.0,0.2673849221863555,
117,308.5,0.2384659684290995,
118,309.0,0.201218639285418,
119,309.5,0.1813244152044808,
120,310.0,0.1664887431037998,
121,310.5,0.152816925407369,
122,311.0,0.141957294336704,
123,311.5,0.1215593569677666,
124,312.0,0.1062112146627829,
125,312.5,0.0987858418430935,
126,313.0,0.0834019854780574,
127,313.5,0.0723322424334436,
128,314.0,0.0643678411713513,
129,314.5,0.054036929289023,
130,315.0,0.0487549653653072,
131,315.5,0.0422002642342349,
132,316.0,0.0339997401682148,
133,316.5,0.0307465454579605,
134,317.0,0.027502282364368,
135,317.5,0.0248814785888444,
136,318.0,0.0232874696105234,
137,318.5,0.0182923667638812,
138,319.0,0.0147222562146807,
139,319.5,0.0136740183822379,
140,320.0,0.0119929558270144,
141,320.5,0.0100412164930698,
142,321.0,0.0090404711906459,
143,321.5,0.0092476002352446,
144,322.0,0.0094434683576314,
145,322.5,0.0084411411537881,
146,323.0,0.00645469913084,
147,323.5,0.0047694434602945,
148,324.0,0.0044783328035664,
149,324.5,0.0046731314104302,
150,325.0,0.0046181807578096,
151,325.5,0.0046051848982862,
152,326.0,0.0046701043746493,
153,326.5,0.0045486776795742,
154,327.0,0.0045552712129741,
155,327.5,0.0059206673374079,
156,328.0,0.0080075382250757,
157,328.5,0.0093060285159174,
158,329.0,0.0092132382501728,
159,329.5,0.0096569235141328,
160,330.0,0.0083054173446415,
161,330.5,0.004730444876271,
0,302.0,,0.00217654421007
1,303.0,,0.0053873671996238
2,304.0,,0.0105788316482831
3,305.0,,0.0196004870984771
4,306.0,,0.0386414086879249
5,307.0,,0.062791574731601
6,308.0,,0.0877267912793902
7,309.0,,0.1248825334361718
8,310.0,,0.1565234046093577
9,311.0,,0.1863770007662397
10,312.0,,0.2196186873579131
11,313.0,,0.2581897483868549
12,314.0,,0.2946227063644555
