,time,label,center_of_mass_x,center_of_mass_y,center_of_pix_x,center_of_pix_y,n_pixel,noise,charge_with_noise,sn_mean_deviation,sn_mean_deviation_sigma,n_pixel_red,noise_red,charge_with_noise_red,sn_mean_deviation_red,sn_mean_deviation_sigma_red,n_pixel_green,noise_green,charge_with_noise_green,sn_mean_deviation_green,sn_mean_deviation_sigma_green,n_pixel_blue,noise_blue,charge_with_noise_blue,sn_mean_deviation_blue,sn_mean_deviation_sigma_blue,angle,box_center_x,box_center_y,box_size_x,box_size_y,charge,charge_log
20,2022-08-02 09:29:31.251206912,336,686.9175487120324,356.7681602833928,687.693192713327,356.39980824544585,1043,7083103.724137947,30934224.0,22867.80467484381,3.5368638805696833,21,162951.1724137931,798736.0,30275.467980295565,3.4549860032335724,475,3582597.5172413806,16792432.0,27810.177858439205,3.419115494151075,547,3337555.0344827557,13343056.0,18291.59225871524,3.642256785456144,-57.9946174621582,685.3146362304688,356.6966857910156,81.4078369140625,65.08386993408203,23851120.275862053,16.987341745929744
30,2022-08-02 09:34:41.928007680,305,693.7689098846927,353.49234571787287,694.2385321100918,352.61467889908255,109,1054358.3448275856,5895552.0,44414.62068965517,3.2707854955332896,7,59641.6551724138,315664.0,36574.620689655174,3.2907017746906617,63,640423.4482758617,3639776.0,47608.77066228791,3.2613001277121363,39,354293.2413793104,1940112.0,40662.01945181256,3.28253329601101,-74.47589111328125,694.2893676757812,352.8581848144531,28.156137466430664,18.360370635986328,4841193.655172414,15.392671871255876
77,2022-08-02 10:08:07.307537664,437,686.7746006431693,357.2901576329878,687.6455813953488,356.99627906976747,1075,7252885.517241398,31495072.0,22550.871146752226,3.5365118623634633,19,151030.3448275862,743408.0,31177.771324863883,3.345984180648272,480,3612521.6551724123,16875136.0,27630.44655172411,3.409081590477464,576,3489333.517241373,13876528.0,18033.323754789242,3.6489885228805914,-25.34617805480957,684.0792236328125,362.2782897949219,90.46891784667969,63.92756271362305,24242186.482758604,17.00360491653142
90,2022-08-02 10:13:15.428678912,286,694.5070433378372,353.28807454680265,696.1937984496124,352.26356589147287,129,1170368.8275862066,6247840.0,39360.24164661855,3.237874554025284,7,65372.68965517242,355440.0,41438.187192118225,3.21445351770175,63,620539.0344827584,3443616.0,44810.745484400664,3.247078142152943,59,484457.1034482759,2448784.0,33293.67621274108,3.2308257608426065,-22.61986541748047,697.6982421875,349.87579345703125,29.53846549987793,23.076927185058594,5077471.172413793,15.440323894904813
114,2022-08-02 10:38:13.933032704,1,696.3946084185094,406.09275289175395,673.267295796429,417.9353636534046,853560,5264775384.551709,30202684496.0,29216.351646572974,5.05435032330202,196351,1157068167.4482803,6456644992.0,26990.322557825602,5.2123788385115875,463112,2967366327.7240825,17496544784.0,31372.925893252625,4.944400958351644,194097,1140340889.3793085,6249494720.0,26322.683146162155,5.156823897396613,-0.0,639.5,479.5,1279.0,959.0,24937909111.44829,23.939654936933536
492,2022-08-02 10:41:33.198443776,657,493.24746110042554,207.5818612130414,573.8644866573704,232.53387448785787,324861,1956308123.8621004,11643158304.0,29818.445981936857,3.9605936402046886,78247,442155824.275861,2503224480.0,26340.545397575992,3.992768844328792,172322,1094803695.7241356,6700667328.0,32531.328746625055,3.9016943281082646,74292,419348603.8620753,2439266496.0,27188.901794781523,4.06332386771226,-20.93366813659668,724.5134887695312,182.45114135742188,1143.283203125,754.9219360351562,9686850180.1379,22.994035151196723
1313,2022-08-02 10:53:10.482876928,699,412.3781857964162,117.27660427480768,413.91169262652346,119.02003322423066,60799,474256337.3793121,3839131728.0,55344.25550783256,3.5734002714892643,10607,82232257.37931013,665411648.0,54980.615689703875,3.555980642613858,40218,315526575.4482759,2554353984.0,55667.2984373102,3.5864552919004997,9974,76497504.55172396,619366096.0,54428.37291440508,3.5392838881507434,-0.0,481.5,174.5,431.0,349.0,3364875390.620688,21.936656768338324
1561,2022-08-02 10:54:50.088514304,1425,962.1640448343638,616.8354590343828,955.6474206612329,610.1136908465862,98029,837188817.9310303,5653311392.0,49129.56955665253,3.9447589627078368,14747,127945561.10344769,839357232.0,48241.11147328667,3.935479669540016,61950,528255505.103447,3596351648.0,49525.36146725772,3.9441904646017827,21332,180987751.7241392,1217602512.0,48594.35403505839,3.952824788416294,-0.899859607219696,882.4532470703125,557.01904296875,503.4615173339844,475.2398376464844,4816122574.06897,22.29523499605533
1942,2022-08-02 10:56:29.692874240,1680,939.359592887458,601.0598541138102,906.6825959387619,581.1359919240043,137692,1094961226.7586231,6891767152.0,42099.80191471864,3.8311304916264315,24454,188121740.41379452,1080205280.0,36480.06622990971,3.715122531939762,85471,688470157.2413827,4464555312.0,44179.72358763431,3.866771052334884,27767,218369329.10344905,1347006560.0,40646.711236235606,3.823590040078207,-23.698396682739258,743.25,537.6932373046875,1064.5224609375,696.7648315429688,5796805925.241377,22.480572900261855
